animeTitle	Go-Q-Choji Ikkiman
animeType	TV
animeNumEpisode	32
releaseDate	1986-04-13 00:00:00
endDate	1986-11-23 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	186
animeRank	
animePopularity	11844
animeDescription	"Ikkiman is super human alien, but he doesn't know it. He was raised in a farm by an old couple. When his girlfriend dumps him to become a star, Ikkiman swears to himself that he will become a super star even more famous then her so they can get back together, and so he leaves the farm for the city. There, he interrupts the match of the Battle-ball team ""Blue Planets,"" the battle-ball champions of the earth, and decides to join them with his superhuman discovered abilities. With the Blue planets, Ikkiman will play against alien enemy's for the title of champion and for the sake of the planet Earth."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
