animeTitle	b'Ginga Shippuu Sasuraiger'
animeType	b'TV'
animeNumEpisode	43
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	136
animeRank	
animePopularity	
animeDescription	b'It is 2911 and the solar system is made up of of 50 planets. I.C Blues, a gambler, makes a bet with the boss of a criminal syndicate known as Bloody God that it is possible to navigate the whole solar system in one year. Helping out Blues is J9-III, made up of Rock, Beat, and Birdy. To clear any obstcles, they have the transforming train-robot Sasuraiger. But the Bloody Syndicate will do anything to ensure the Blues loses the bet. \n\n(Source: ANN) '
animeRelated	[b'Ginga Reppuu Baxingar']
animeCharacters	[b'Shaw, Birdy', b'Blues, I.C.', b'MacKenzie, Beat', b'Anlock, Rock', b'Chang, Suzy', b'Kenjo, Jimmy', b'God, Bloody', b'Aurgan, Inspector', b'Richman, D.D.']
animeVoices	[b'\nIchiryuusai, Harumi\nJapanese\n', b'\nSogabe, Kazuyuki\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n', b'\nMiura, Masako\nJapanese\n', b'\nShioya, Yoku\nJapanese\n', b'\nKanie, Eiji\nJapanese\n', b'\nTokumaru, Kan\nJapanese\n', b'\nYanami, Jouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYotsuji, Takao\n\nDirector\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n', b'\nHisaishi, Joe\n\nMusic\n\n', b'\nKomatsubara, Kazuo\n\nCharacter Design\n\n']
