animeTitle	b'Eizouken Mini Anime'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	663
animeRank	
animePopularity	
animeDescription	b'Short episodes with super-deformed characters posted in official Twitter account and later released with the BD Box. Includes one recap episode of the first 4 episodes of the main series'
animeRelated	[b'Eizouken ni wa Te wo Dasu na!']
animeCharacters	[b'Kanamori, Sayaka', b'Asakusa, Midori', b'Mizusaki, Tsubame']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshitomo\n\nCharacter Design\n\n', b'\nTakahashi, Tatsuya\n\nKey Animation\n\n', b'\nNakamura, Ayaka\n\nColor Design\n\n']
