animeTitle	Stella no Mahou
animeType	TV
animeNumEpisode	12
releaseDate	2016-10-03 00:00:00
endDate	2016-12-19 00:00:00
animeNumMembers	
animeScore	6.86
animeUsers	11802
animeRank	
animePopularity	2991
animeDescription	"Upon enrolling in high school, Tamaki Honda joins a club for making doujin games known as the SNS Club. Joined by programmer Shiina, writer Ayame, and composer Kayo, Tamaki begins working as an illustrator for the club's next game.

(Source: Wikipedia)"
animeRelated	['Stella no Mahou', 'Stella no Mahou Specials']
animeCharacters	['Honda, Tamaki', 'Murakami, Shiina', 'Fujikawa, Kayo', 'Seki, Ayame', 'Fuda, Yumine', 'Iino, Minaha', 'Shimizu, Marika', 'Hyakutake, Teru', 'Iino, Natsu', 'Murakami, Sumire']
animeVoices	['Naganawa, Maria', 'Murakawa, Rie', 'Yuuki, Aoi', 'Ozawa, Ari', 'Maekawa, Ryouko', 'Imamura, Ayaka', 'Shimoji, Shino', 'Akasaki, Chinatsu', 'Taichi, You', 'Arai, Satomi']
animeStaff	[['Kawatsura, Shinya', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Naganawa, Maria', 'Theme Song Performance'], ['kz', 'Theme Song Arrangement, Theme Song Composition']]
