animeTitle	Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	13987
animeRank	
animePopularity	3197
animeDescription	Specials bundled with limited edition Blu-ray/DVD volumes of the Fate/kaleid liner Prisma Illya 2wei Herz!.
animeRelated	['Fate/kaleid liner Prisma☆Illya 2wei Herz!']
animeCharacters	['Toosaka, Rin', 'von Einzbern, Illyasviel', 'von Einzbern, Chloe', 'Edelfelt, Miyu', 'Edelfelt, Luviagelita', 'Emiya, Shirou', 'Fraga McRemitz, Bazett', 'Leysritt', 'Gakumazawa, Tatsuko', 'Sella']
animeVoices	['Ueda, Kana', 'Kadowaki, Mai', 'Saitou, Chiwa', 'Nazuka, Kaori', 'Itou, Shizuka', 'Sugiyama, Noriaki', 'Nabatame, Hitomi', 'Miyagawa, Miho', 'Katou, Emiri', 'Nanao, Haruhi']
animeStaff	[['Katou, Tatsuya', 'Music'], ['Ayres, Christopher', 'ADR Director'], ['Hiroyama, Hiroshi', 'Original Creator']]
