animeTitle	Kutsujoku 2 The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2020-06-26 00:00:00
endDate	2020-08-28 00:00:00
animeNumMembers	
animeScore	6.25
animeUsers	1368
animeRank	
animePopularity	7913
animeDescription	"Episode 1
It's almost as if a demon awoke within him. The power he had in a previous life came back to him all at once.

Now to get back at the girls who humiliated him the only way he knows how.

Episode 2
After reawakening to his previous self and powers and having a taste of what his life once was, it's time to test out his powers. What better way than to use them on one of his students who just so happens to look very similar to one of his favorite streamers.

(Source: Hanime)"
animeRelated	['Kutsujoku 2', 'Kutsujoku']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
