animeTitle	b'Ane Yome Quartet'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	6612
animeRank	
animePopularity	
animeDescription	"b""Based of the game by Candy Soft. Summary of the game:\n\nThe Hanabishi family and Hidaka family are next door neighbors.\nThe fathers of both households could be called best friends, so they all get along like one big happy family. In particular, Hidaka family\xe2\x80\x99s only son Kouki was raised lovingly by the four Hanabishi sisters like he was their own brother. \nOne day, the Hanabishi and Hidaka parents were preparing for a long term overseas business trip together. Kantaro Hanabishi had only one problem holding him back from the trip; leaving his four daughters behind in Japan. \n\xe2\x80\x9cLeave it to me. You can rely on me to watch over them!\xe2\x80\x9d\nAs a result of Kouki\xe2\x80\x99s casual announcement, both parents happily departed on their trip.\n\xe2\x80\x9cOoh, how reliable! That was what I was waiting to hear!\xe2\x80\x9d\nBetween both of the parents, they had arranged for one of the four sisters to become Kouki's fiance.\nAfter Kouki's graduation they would continue discussion of it further, but this recent event gave a chance to accelerate their plan.\n\nThus, all summer vacation Kouki will spend time alone under one roof with all four of the Hanabishi sisters.\n\nThe eldest daughter Yurina: Despite being good at her job, While at home she lazes around and makes Kouki work hard. \nThe second born daughter, Momone: Absolutely adores Kouki, and does nothing but spoil him. \nThe third daughter, Saori: She does all the housework, and although she is like a maid she prefers it to going outside. \nThe youngest daughter, Anzu: Has no reservation in calling Kouki her personal play toy. \n\nEach of them have their own motives doing anything they can; at times even tempting him into sexual situations, so they can draw closer to making the Kouki they love their husband.\nIf Kouki ever chooses a bride, who will it be?\nThe energetic life with the quartet of sisters is about to begin.\n\n(Source: VNDB)"""
animeRelated	[]
animeCharacters	[b'Hanabishi, Saori', b'Hanabishi, Yurina', b'Hanabishi, Momone', b'Hanabishi, Anzu', b'Hanabishi, Koume']
animeVoices	[b'\nMomoya, Minami\nJapanese\n', b'\nMisonoo, Mei\nJapanese\n', b'\nSuzuya, Maya\nJapanese\n', b'\nTakamura, Yuri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCandy Soft\n\nOriginal Creator\n\n']
