animeTitle	b'Hachigatsu no Cinderella Nine'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	550
animeRank	
animePopularity	
animeDescription	b'The opening animation PV for Hachigatsu no Cinderella Nine, a mobile game app where you train/raise a group of high school girls to become baseball athletes so that they can make it to Koshien. The game was launched the following month for both iOS and Android.'
animeRelated	[b'Hachigatsu no Cinderella Nine (TV)']
animeCharacters	[b'Ukita, Akane']
animeVoices	[]
animeStaff	[]
