animeTitle	Sore Ike! Anpanman: Dadandan to Futago no Hoshi
animeType	Movie
animeNumEpisode	1
releaseDate	2009-07-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15040
animeDescription	21st Anpanman movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Kirari', 'Shokupanman', 'Oji-san, Jam', 'Melonpanna']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Margarine', 'Shimamoto, Sumi', 'Masuoka, Hiroshi', 'Kanai, Mika']
animeStaff	[['Kawagoe, Jun', 'Director'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Kawamura, Tomoyuki', 'Assistant Director'], ['Maeda, Minoru', 'Animation Director, Character Design']]
