animeTitle	Ai Mai! Moe Can Change!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	3404
animeRank	
animePopularity	6183
animeDescription	"The OVA adaptation Moe Can Change! is created by Frontier Works, based on a free-to-play game developed by Ambition for mobile phones. The original ""playful bishoujo Miroid-raising / clothes-changing moe game"" has the player joining a beta test program for androids, who the player must raise and dress up as girls.

(Source: Animekon)"
animeRelated	[]
animeCharacters	['Server, Ai', 'Moeki, Kanna', 'Moeki, Anna', 'Server, Mi', 'Oshiro, Maya', 'Lamp', 'Sarari', 'Kiyan, Chie']
animeVoices	['Fujita, Saki', 'Hidaka, Rina', 'Aizawa, Mai', 'Ohara, Sayaka', 'Shintani, Ryouko', 'Oogame, Asuka', 'Katou, Emiri']
animeStaff	[['Takahashi, Takeo', 'Director, Storyboard'], ['Hidaka, Rina', 'Theme Song Performance'], ['Kuroda, Kazuya', 'Character Design']]
