animeTitle	Oh Yoko!
animeType	Music
animeNumEpisode	1
releaseDate	1973-01-01 00:00:00
endDate	
animeNumMembers	962
animeScore	4.41
animeUsers	559
animeRank	11874
animePopularity	11228
animeDescription	"Made to accompany the song ‘Oh! Yoko!’ by John Lennon, the hand-drawn animation playfully appropriates and imagines moments in the lives of the celebrity couple, John Lennon and Yoko Ono, in pop caricature versions, with occasional appearances from Elvis Presley and the Yellow Submarine. The animation was aired on the late-night television program 11PM.

(Source: Collaborative Cataloging Japan)"
animeRelated	[]
animeCharacters	['Lennon, John', 'Ono, Yoko']
animeVoices	[]
animeStaff	[['Tanaami, Keiichi', 'Director'], ['Lennon, John', 'Music']]
