animeTitle	Sister
animeType	Music
animeNumEpisode	1
releaseDate	2016-12-02 00:00:00
endDate	
animeNumMembers	437
animeScore	6.19
animeUsers	242
animeRank	7724
animePopularity	13348
animeDescription	"An original song by Eve featuring Vocaloid Hatsune Miku, animated by Avogado6. A re-arranged version of the song was also included on Eve's 3rd album ""Official Number"" released October 16, 2016 on his own self-made record label harapeco records. Eve also created a self-cover on February 1, 2018."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
