animeTitle	Yokoyama Mitsuteru Sangokushi
animeType	TV
animeNumEpisode	47
releaseDate	1991-10-18 00:00:00
endDate	1992-09-25 00:00:00
animeNumMembers	5300
animeScore	7.36
animeUsers	1805
animeRank	2154
animePopularity	6834
animeDescription	"Around 1800 years ago in China, the ruling power of the Han dynasty became weakened and the flames of war spread throughout the land. 

Liu Bei was a young, poor straw-mat seller from the countryside of Hebai Hsing. After pledging eternal brotherhood with the two heroes, Guan Yu and Zhang Fei, Liu began building his idea of a righteous kingdom that would aid citizens who suffered from persecution. 

(Source: AniDB)"
animeRelated	['Sangokushi']
animeCharacters	['Zhuge, Liang', 'Cao, Cao', 'Guan, Yu', 'Zhang, Fei', 'Liu, Bei', 'Dong, Zhuo', 'Narrator', 'Diao, Chan']
animeVoices	['Masanori, Ishii', 'Matsumoto, Yasunori', 'Tsuji, Shinpachi', 'Fujiwara, Keiji', 'Nakamura, Daiki', 'Ootomo, Ryuuzaburou', 'Oobayashi, Ryuusuke', 'Orikasa, Ai']
animeStaff	[['Yano, Hiroyuki', 'Producer'], ['Honda, Yasunori', 'Sound Director'], ['Toriumi, Jinzou', 'Script'], ['Okuda, Seiji', 'Storyboard, Chief Animation Director']]
