animeTitle	b'Mi Yu Xing Zhe'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	4374
animeRank	
animePopularity	
animeDescription	b'A magician, a female doctor, a gangster, an archaeology professor, a policewoman, a drug dealer, a businessman... Such a random group of people find themselves trapped on a desolate island when they wake up from sleep one day. They are surrounded by tribes, mutant viruses, and countless life and death situations on this mysterious island. What will they do to survive and escape?'
animeRelated	[b'Mi Yu Xing Zhe']
animeCharacters	[b'He, Zhiyang', b'Su, Jin', b'Ning, Yuan', b'Ivanov, Andrei']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSun, Meng\n\nDirector\n\n']
