animeTitle	Kantoku Fuyuki Todoki
animeType	TV
animeNumEpisode	13
releaseDate	2014-04-04 00:00:00
endDate	2014-07-04 00:00:00
animeNumMembers	6368
animeScore	5.94
animeUsers	2257
animeRank	8894
animePopularity	6362
animeDescription	"This is the anime adaptation of Kantoku Fuyuki Todoki (Insufficient Direction), the first essay manga by the ""queen of the manga world,"" Moyoco Anno. The comedic and heartwarming autobiographical story follows her everyday married ""otaku lifestyle"" with Hideaki Anno, ""the founder of the otaku cult.""

(Source: ANN)"
animeRelated	['Kantoku Fuyuki Todoki', 'Yoiko no Rekishi Anime: Ookina Kabu (Kabu)']
animeCharacters	['Kantoku-kun', 'Rompers']
animeVoices	['Yamadera, Kouichi', 'Hayashibara, Megumi']
animeStaff	[['Tani, Azuma', 'Director'], ['Hata, Shouji', 'Sound Director'], ['AOP', 'Theme Song Performance'], ['Watanabe, Chuumei', 'Theme Song Composition']]
