animeTitle	Kuroko no Basket: Oshaberi Demo Shimasen ka
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	8982
animeRank	
animePopularity	3912
animeDescription	Special included on Kuroko no Basket Fan Disc 2: Hikari Sasu Basho e. 
animeRelated	['Kuroko no Basket 2nd Season', 'Kuroko no Basket: Oshaberi Shiyokka', 'Kuroko no Basket: Oshaberi Shiyou ka']
animeCharacters	['Kuroko, Tetsuya', 'Aomine, Daiki', 'Kise, Ryouta', 'Kagami, Taiga', 'Midorima, Shintarou', 'Murasakibara, Atsushi', 'Kiyoshi, Teppei', 'Takao, Kazunari', 'Momoi, Satsuki', 'Hyuuga, Junpei']
animeVoices	['Ono, Kensho', 'Suwabe, Junichi', 'Kimura, Ryouhei', 'Ono, Yuuki', 'Ono, Daisuke', 'Suzumura, Kenichi', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko', 'Hosoya, Yoshimasa']
animeStaff	[['Fujimaki, Tadatoshi', 'Original Creator']]
