animeTitle	b'Rin x Sen + Ran -> Sem: Cross Mix'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	3362
animeRank	
animePopularity	
animeDescription	b'A cross over between the two hentai RIN\xc3\x97SEN and RAN\xe2\x86\x92SEM.'
animeRelated	[b'Rin x Sen: Hakudaku Onna Kyoushi to Yaroudomo', b'Ran->Sem: Hakudaku Delmo Tsuma no Miira Tori']
animeCharacters	[b'Ichinose, Riko', b'Ebihara, Urara', b'Ichinose, Anna', b'Okita, Asuka', b'Mizushima, Kaho', b'Sakaki, Kaori', b'Zenko, Majima', b'Kijima, Yuuji', b'Kurose, Tatsuya', b'Hirukawa, Keizou']
animeVoices	[b'\nHaduki, Rie\nJapanese\n', b'\nShiomi, Rin\nJapanese\n', b'\nHyo-sei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYokoyama, Hiromi\n\nDirector\n\n', b'\nHakudaku, Ouji\n\nEpisode Director\n\n', b'\nNagai, Shinpei\n\nAnimation Director\n\n', b'\nGuilty\n\nOriginal Creator\n\n']
