animeTitle	Deep Blue Song
animeType	Music
animeNumEpisode	1
releaseDate	2017-08-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	300
animeRank	
animePopularity	12640
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	"['Dive to Blue', ""Marine Dreamin'"", ""Marine Bloomin'"", 'Deep Blue Town e Oide yo', 'Sunny Days!', 'Sea Breeze', 'Deep Blue Song (September 2017)']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
