animeTitle	To LOVE-Ru Darkness 2nd Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.59
animeUsers	41876
animeRank	
animePopularity	1860
animeDescription	Extra episodes of To LOVE-Ru Darkness 2nd bundled with the seventh Blu-ray and DVD volume.
animeRelated	['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness 2nd', 'To LOVE-Ru: Multiplication - Mae kara Ushiro kara']
animeCharacters	['Deviluke, Momo Belia', 'Konjiki no Yami', 'Yuuki, Rito', 'Kurosaki, Mea', 'Deviluke, Lala Satalin', 'Kotegawa, Yui', 'Yuuki, Mikan', 'Deviluke, Nana Astar', 'Sairenji, Haruna', 'Nemesis']
animeVoices	['Toyosaki, Aki', 'Fukuen, Misato', 'Watanabe, Akeno', 'Iguchi, Yuka', 'Tomatsu, Haruka', 'Nazuka, Kaori', 'Itou, Kanae']
animeStaff	[]
