animeTitle	b'Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	429
animeRank	
animePopularity	
animeDescription	b'Considered the prequel to the fourth Hamtaro game (fifth in Japan). In this tribute to the 2004 Olympics, Hamtaro and the Ham-Hams are tasked by Prince Bo with lighting the everlasting torch to Hamcropolis. However, the Rainbow Girls will not allow this and pursue the Ham-Hams.\n\n(Source: Wikipedia)'
animeRelated	[b'Tottoko Hamtarou', b'Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono']
animeCharacters	[b'Hamtarou', b'Koushi-kun', b'Haruna, Hiroko', b'Tongari-kun', b'Nijihamu-kun', b'Iwata, Kana', b'Cutie']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMiura, Kouji\n\nScript\n\n']
