animeTitle	Sasuke
animeType	TV
animeNumEpisode	29
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	220
animeRank	
animePopularity	10702
animeDescription	Sasuke is the son of a very skilled ninja, whose name is Ozaru. After the defeat of their lord, Yukimura Sanada, Tokugawa's and Hattori's ninjas begin to persecute all their enemies still alive: that means Ozaru and Sasuke must leave their house and start a violent struggle for their own life. Danger, vengeance, anger, loyalty, pain are the basic elements of this story, where the worst aspects of the human soul are described together with the growth of the main character, the young Sasuke. 
animeRelated	[]
animeCharacters	['Sasuke', 'Hattori, Hanzou', 'Onihime']
animeVoices	['Kaminarimon, Kenbo']
animeStaff	[['Tashiro, Junji', 'Script'], ['Tanaka, Masafumi', 'Theme Song Composition, Theme Song Arrangement'], ['Honey Knights', 'Theme Song Performance'], ['Shirato, Sanpei', 'Original Creator']]
