animeTitle	Believe
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	456
animeRank	
animePopularity	11029
animeDescription	"An animation made to promote the movie Yatterman, which stars Arashi member Sakurai Sho and uses ""Believe"" as its theme song. 

Each member of Arashi is animated and transforms into a character from the Yatterman series, fighting the bad guys and saving the day.
"
animeRelated	['Yatterman']
animeCharacters	['Boyacky', 'Yatterman', 'Time Bokan', 'Yattodetaman', 'Otasukeman', 'Zenderman', 'Doronjo', 'Tonzura']
animeVoices	['Sakurai, Sho', 'Ohno, Satoshi', 'Ninomiya, Kazunari', 'Matsumoto, Jun']
animeStaff	[['Arashi', 'Music']]
