animeTitle	b'Sweat Punch'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	15086
animeRank	
animePopularity	
animeDescription	b'Sweat Punch is a series of five Studio 4\xc2\xb0C shorts collected as a direct-to-DVD package film entitled Deep Imagination.'
animeRelated	[]
animeCharacters	[b'The Black Swordsman', b'The Young Girl', b'Yuko', b'Kazumi', b'Queen', b'FACE']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nMaeda, Ai\nJapanese\n', b'\nShishido, Rumi\nJapanese\n', b'\nKakinuma, Shino\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTanaka, Eiko\n\nProducer\n\n', b'\nNakazawa, Kazuto\n\nDirector\n\n', b'\nKobayashi, Osamu\n\nDirector, Sound Director, Key Animation, Art Director, Color Design, Setting\n\n', b'\nItou, Nobutake\n\nDirector\n\n']
