animeTitle	Gaia Getter A-kun
animeType	ONA
animeNumEpisode	2
releaseDate	2002-06-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15591
animeDescription	Far away from our solar system there is a 3rd planet of another called Mangana. A Queen rules it with an iron fist. The first Prince, A-kun, is nothing but naughty kid and so the Queen gives him the task of invading Earth to prove his worth. A-kun comes in tow with his semi-forced attendants and hijinks ensue.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
