animeTitle	Strike the Blood: Valkyria no Oukoku-hen
animeType	OVA
animeNumEpisode	2
releaseDate	2015-11-25 00:00:00
endDate	2015-12-23 00:00:00
animeNumMembers	81979
animeScore	7.27
animeUsers	40031
animeRank	2546
animePopularity	1863
animeDescription	"It was officially announced at the Dengeki Game Festival 2015 event that Strike the Blood will be getting a two-episode OVA series to be released at the end of 2015. The OVA will be an original story written by Gakuto Mikumo.

(Source: MAL News)"
animeRelated	['Strike the Blood']
animeCharacters	['Himeragi, Yukina', 'Akatsuki, Kojou', 'Rihavein, La Folia', 'Aiba, Asagi', 'Kirasaka, Sayaka', 'Minamiya, Natsuki', 'Kanase, Kanon', 'Astarte', 'Yaze, Motoki', 'Akatsuki, Nagisa']
animeVoices	['Taneda, Risa', 'Hosoya, Yoshimasa', 'Oonishi, Saori', 'Seto, Asami', 'Hayama, Ikumi', 'Kanemoto, Hisako', 'Itou, Kanae', 'Iguchi, Yuka', 'Oosaka, Ryouta', 'Hidaka, Rina']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Yamamoto, Hideyo', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Iguchi, Yuka', 'Theme Song Performance']]
