animeTitle	Pocket Monsters: Diamond & Pearl Specials
animeType	Special
animeNumEpisode	2
releaseDate	2011-02-03 00:00:00
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	5013
animeRank	
animePopularity	5180
animeDescription	"One-hour special split into 2 episodes during the airing of Pokemon Best Wishes! featuring the old characters from the Diamond & Pearl series Hikari and Takeshi with their Pokemon.

Episode 1 - ヒカリ・新たなる旅立ち! (Hikari, Arata Naru Tabidachi!):
Hikari - Setting off on a New Journey!

Episode 2 - ニビジム・史上最大の危機! (Nibi Gym, Shijou Saidai no Kiki!):
Nibi Gym - The Greatest Crisis Ever!"
animeRelated	['Pokemon Diamond & Pearl']
animeCharacters	['Takeshi', 'Hikari', 'Joy', 'Junsa', 'Narrator', 'Jiro', 'Nanakamado, Doctor', 'Mizuho', 'Shinko', 'Ayako']
animeVoices	['Ueda, Yuuji', 'Toyoguchi, Megumi', 'Inoue, Kikuko', 'Ishizuka, Unshou', 'Park, Romi', 'Kayumi, Iemasa', 'Hyoudou, Mako', 'Shitaya, Noriko', 'Tsumura, Makoto']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Tajiri, Satoshi', 'Original Creator'], ['Sugimori, Ken', 'Original Character Design']]
