animeTitle	Chain Chronicle: Haecceitas no Hikari Part 2
animeType	Movie
animeNumEpisode	1
releaseDate	2017-01-14 00:00:00
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	4739
animeRank	
animePopularity	4559
animeDescription	"Set in the land of Yuguto, the people thought that the land they live is the size of the world, but it’s actually divided into several areas, each with a respective king. Even though there were small wars among areas, the kings had roundtable meetings to maintain peace and balance. It was until a dark group of dark monsters appeared...

(Source: MAL News)"
animeRelated	['Chain Chronicle: Haecceitas no Hikari', 'Chain Chronicle: Haecceitas no Hikari Part 1', 'Chain Chronicle: Haecceitas no Hikari Part 3']
animeCharacters	['Mujika']
animeVoices	['Touyama, Nao']
animeStaff	[['Kudou, Masashi', 'Director, Character Design'], ['Nakayama, Naomi', 'Episode Director'], ['Touyama, Nao', 'Theme Song Performance, Inserted Song Performance'], ['nano', 'Theme Song Lyrics, Theme Song Performance']]
