animeTitle	Torikaekko Please
animeType	Music
animeNumEpisode	1
releaseDate	1998-02-10 00:00:00
endDate	
animeNumMembers	
animeScore	4.38
animeUsers	894
animeRank	
animePopularity	9768
animeDescription	Official music video for Suzukisan's Torikaekko Please song. The song and characters had been used to promote the Pokémon franchise. Nintendo has revived the song for the 20th anniversary campaign.
animeRelated	['Pokemon']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
