animeTitle	eX-Driver the Movie Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	318
animeRank	
animePopularity	11161
animeDescription	"Three short bonus shorts featured with the movie, featuring Lisa, Lorna and Souichi in events set just before where the movie takes off. These bonus shorts are done in comedic style, mainly with camera pans and zooms on still images.

(Source: Wikipedia)"
animeRelated	['eX-Driver the Movie']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
