animeTitle	b'Doubutsu Tonarigumi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.3
animeUsers	136
animeRank	
animePopularity	
animeDescription	b'The Neighborhood Community (Tonari-gumi) was the smallest unit of population which was the national mobilization program established by the Japanese government during the World War II. This was to regulate rationing and thought control more efficiently.\n\nEach unit was consisted from 5-10 households, and organized to help one another, also to keep eye on any suspicious behavior.\n\nThe same title song was made to promote this program, became a big hit in Japan with its cheerful melody.\n\n(Source: ANIDO)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
