animeTitle	Initial D Third Stage
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.88
animeUsers	84248
animeRank	
animePopularity	1293
animeDescription	"Takumi Fujiwara is a skilled street racer, but he suffers a crushing loss against the team Emperor's leader Kyoichi Sudou due to his AE86 experiencing an engine failure. Doubting his abilities, the recent high school graduate is then approached by the Akagi RedSuns' team leader Ryousuke Takahashi, who proposes the formation of a professional street racing team. Although it would be the ideal way to improve as a street racer, Takumi remains undecided.

Does the young street racer have what it takes to become a professional? Perhaps Ryousuke and the RedSuns can help him reevaluate his own doubts and misconceptions concerning street racing. However, first and foremost, Takumi decides to settle the score with Kyoichi Sudou...

[Written by MAL Rewrite]"
animeRelated	['Initial D', 'Initial D Fourth Stage', 'Initial D Second Stage', 'Initial D Battle Stage', 'Initial D: Project D to the Next Stage - Project D e Mukete', 'Initial D Extra Stage']
animeCharacters	['Fujiwara, Takumi', 'Fujiwara, Bunta', 'Takahashi, Ryousuke', 'Takahashi, Keisuke', 'Takeuchi, Itsuki', 'Satou, Mako', 'Nakazato, Takeshi', 'Shouji, Shingo', 'Iketani, Kouichirou', 'Sudou, Kyoichi']
animeVoices	['Miki, Shinichiro', 'Ishizuka, Unshou', 'Koyasu, Takehito', 'Seki, Tomokazu', 'Iwata, Mitsuo', 'Neya, Michiko', 'Hiyama, Nobuyuki', 'Fujiwara, Keiji', 'Yao, Kazuki', 'Tanaka, Masahiko']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Vale, Eric', 'Script'], ['m.o.v.e', 'Theme Song Performance, Inserted Song Performance'], ['Shigeno, Shuuichi', 'Original Creator']]
