animeTitle	Nezumi-kun no Kimochi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17583
animeDescription	"Based on a well known children's book by Yoshio Nakae with illustrations by Noriko Ueno.

It features various simple stories about a mouse in his red vest and his other animal friends as they learn about feelings."
animeRelated	['Tobidasu Ehon 3D', 'Nezumi-kun no Chokki']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
