animeTitle	b'Quanzhi Fashi II'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	27328
animeRank	
animePopularity	
animeDescription	"b""After defeating Yu Ang at the cost of revealing his lightning element, Mo Fan has been granted seven days to train in the Underground Holy Spring, where it is said that one can greatly increase their power level.\n\nHowever, Mo Fan's training is abruptly cut short when fierce monsters mysteriously appear all around Bo City, something which should be impossible given the city\xe2\x80\x99s border defenses. An emergency is declared, and Mo Fan is tasked with delivering the Underground Holy Spring\xe2\x80\x94now condensed into a small bottle\xe2\x80\x94to a special refuge zone that is protected from the havoc in the city. \n\nThe path there is long, dangerous, and riddled with bloodthirsty beasts. To worsen matters, the malicious Black Order threatens to halt his advance. How will Mo Fan stop the sacred spring from falling into the wrong hands?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Quanzhi Fashi', b'Quanzhi Fashi III']
animeCharacters	[b'Mo, Fan', b'Zhang, Xiaohou', b'Yue, Tang', b'Mu, Ningxue', b'Ye, Xinxia', b'Mu, Shengxue']
animeVoices	[]
animeStaff	[]
