animeTitle	Sakamoto Desu ga?
animeType	TV
animeNumEpisode	12
releaseDate	2016-04-08 00:00:00
endDate	2016-07-01 00:00:00
animeNumMembers	
animeScore	7.57
animeUsers	307002
animeRank	
animePopularity	224
animeDescription	"Sophisticated, suave, sublime; all words which describe the exceedingly handsome and patently perfect Sakamoto. Though it is only his first day in high school, his attractiveness, intelligence, and charm already has the girls swooning and the guys fuming with jealousy. No one seems able to derail him, as all attempts at tripping him up are quickly foiled. His sangfroid is indomitable, his wits peerless. Will any of Sakamoto's classmates, or even teachers, be able to reach his level of excellence? Probably not, but they just might learn a thing or two trying...

[Written by MAL Rewrite]"
animeRelated	['Sakamoto desu ga?', 'Sakamoto Desu ga? Special']
animeCharacters	['Sakamoto', '8823-senpai', 'Maeda, Atsushi', 'Kubota, Yoshinobu', 'Sera, Yuuya', 'Fujita, Megumi', 'Kubota, Shigemi', 'Yagi', 'Fukase', 'Kuronuma, Aina']
animeVoices	['Midorikawa, Hikaru', 'Yusa, Kouji', 'Sugita, Tomokazu', 'Ishida, Akira', 'Morikubo, Shoutarou', 'Nakahara, Mai', 'Kujira', 'Nabatame, Hitomi', 'Iwata, Mitsuo', 'Horie, Yui']
animeStaff	[['Takamatsu, Shinji', 'Director'], ['Akagi, Hiroaki', 'Episode Director'], ['Kimura, Nobukage', 'Episode Director, Storyboard'], ['Namura, Hidetoshi', 'Storyboard']]
