animeTitle	Saint Seiya Recap
animeType	Special
animeNumEpisode	1
releaseDate	2003-01-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	2792
animeRank	
animePopularity	6429
animeDescription	A summary of the 114 episodes of the TV series Saint Seiya.
animeRelated	['Saint Seiya']
animeCharacters	['Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Andromeda, Shun', 'Cygnus, Hyouga']
animeVoices	['Furuya, Toru']
animeStaff	[['Kurumada, Masami', 'Original Creator']]
