animeTitle	b'Yukidoke'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.9
animeUsers	2173
animeRank	
animePopularity	
animeDescription	"b""The short film tells the story of a young boy, who as a result of seeing a dog's corpse, becomes interested in the bodies of living things and starts to develop phobias. Before long all manner of things begin to appear grotesque to him. \n\n(Source: Wochi Kochi)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
