animeTitle	b'Chuumon no Ooi Ryouriten'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	323
animeRank	
animePopularity	
animeDescription	"b""The oldest anime adaption of the famous short story, Chuumon no Ooi Ryouriten, originally written by Kenji Miyazawa. This stop-motion anime follows two British hunters as they venture deep into the thick woodlands and find themselves lost. It's not long till they stumble across a strangely located restaurant. They Decide it's best to take a break inside, though they quickly find that things in this restaurant may not be what they seem."""
animeRelated	[b'Chuumon no Ooi Ryouriten (1991)', b'Chuumon no Ooi Ryouriten (1993)']
animeCharacters	[b'Hunter 1', b'Hunter 2', b'Chef']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyazawa, Kenji\n\nOriginal Creator\n\n']
