animeTitle	Geba Geba Shou Time!
animeType	OVA
animeNumEpisode	1
releaseDate	1986-03-21 00:00:00
endDate	
animeNumMembers	275
animeScore	
animeUsers	
animeRank	15723
animePopularity	14854
animeDescription	Based on original story by Kinoshita Renzo.
animeRelated	[]
animeCharacters	['Geba Geba Ojii-san']
animeVoices	['Ginga, Banjou']
animeStaff	[['Yamakawa, Norio', 'Producer, Planning'], ['Kinoshita, Renzo', 'Director, Animation Director, Art Director, Original Character Design, Original Creator'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Takahashi, Youichi', 'Music']]
