animeTitle	Eyedrops
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.08
animeUsers	167
animeRank	
animePopularity	11894
animeDescription	"An extended commercial for Santen MediGuard EX eye drops, where the chemical ingredients in the eye drops are personified as different CG girl characters, known as ""Eyedrops"", that are protecting the planet."
animeRelated	['Eyedrops Episode 0', 'Eyedrops Special Episode']
animeCharacters	['Neostigmine Methylsulfate', 'Tetrahydrozoline Hydrochloride', 'Taurine', 'Vitamin B12', 'Vitamin B6', 'Glycyrrhizin Potassium', 'Chondroitin Sulfate Ester Sodium', 'L-aspartic Acid Potassium', 'Chlorphenamine Maleate', 'Epsilon-aminocaproic Acid']
animeVoices	['Hikasa, Youko', 'Kobayashi, Yuu', 'Kitamura, Eri', 'Katou, Emiri', 'Noto, Mamiko', 'Asumi, Kana', 'Tange, Sakura', 'Hayamizu, Risa', 'Iguchi, Yuka', 'Uesaka, Sumire']
animeStaff	[]
