animeTitle	Kwaegeol Longman Narongi
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16052
animeDescription	Someone is out to conquer Lulu forest and it's up to the Nalong and his friends to to figure out who and stop them! When Nalong's girlfriend Ukkya is taken by force and Longman is zapped by a laser beam resulting in an unfavorable transformation--Nalong has more on his plate than he can handle! 
animeRelated	['Turuturutu Narongi', 'Green Saver']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
