animeTitle	Chimera
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8658
animeDescription	"The series follows Kou Ootori, an ordinary high school student who experiences a recurring nightmare of being eaten alive by a beast from within. However, when he meets Reiichi Kuki, an upperclassman who controls the school, the curtain of fate unravels.

(Source: MAL News)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
