animeTitle	Chain Chronicle: Short Animation
animeType	OVA
animeNumEpisode	8
releaseDate	2014-09-06 00:00:00
endDate	2014-12-18 00:00:00
animeNumMembers	
animeScore	5.96
animeUsers	2658
animeRank	
animePopularity	5365
animeDescription	"An anime adaptation of the game for mobile devices Chain Chronicle.

Features eight short episodes that introduces the story, setting, and characters."
animeRelated	['Chain Chronicle: Haecceitas no Hikari', 'Chain Chronicle: Haecceitas no Hikari Part 1']
animeCharacters	['Yuri', 'Phoena', 'Marina', 'Cain', 'Yuni', 'Velnar', 'Aludra', 'Eirenus', 'Katya', 'Touka']
animeVoices	['Ishida, Akira', 'Sakura, Ayane', 'Terasaki, Yuka', 'Komatsu, Mikako', 'Koiwai, Kotori', 'Yanagita, Junichi', 'Kuwatani, Natsuko', 'Fujimura, Ayumi']
animeStaff	[['Mori, Takeshi', 'Director'], ['The Sketchbook', 'Theme Song Performance'], ['Katou, Hiromi', 'Character Design'], ['Mori, Hideharu', 'Music']]
