animeTitle	b'Harbor Tale'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'In this mixed media stop motion / CG animation short Harbor Tale (\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\x90\xe3\x83\xbc\xe3\x83\x86\xe3\x82\xa4\xe3\x83\xab), Yuuichi Itou anthropomorphises a red brick who has resided on the corner of a red brick building since the times when the clack of geta could be heard on the busy streets of Yokohama.  The building is only a couple of blocks from the harbour and when the building was new the red brick recalls seeing a white sailboat coming into port. \n\n(Source: Nishikata Film Review)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
