animeTitle	Hayan Ma-eum Baeggu
animeType	TV
animeNumEpisode	13
releaseDate	2000-10-06 00:00:00
endDate	2001-01-12 00:00:00
animeNumMembers	774
animeScore	6.47
animeUsers	130
animeRank	6311
animePopularity	11794
animeDescription	"Sol and Dong live with their widower father on an island village, where he works as a fisherman. One day a white puppy enters their lives. They adopt him and name him Max. However, after their father dies at sea and circumstances separate Max from Sol and Dong, Max must find the will to fight his way home, so he can be reunited with his owners.

(Source: THEM Anime Reviews)"
animeRelated	[]
animeCharacters	['Dolgae', 'Black', 'Max', 'Hwangdol']
animeVoices	[]
animeStaff	[]
