animeTitle	Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!
animeType	Movie
animeNumEpisode	1
releaseDate	2007-11-10 00:00:00
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	1982
animeRank	
animePopularity	7196
animeDescription	The five girls plus Coco, Nuts, and Milk all go to visit a castle-themed theme park, where they dress up as princes and princesses and go off to have a fun-filled day. However, Coco and Nuts end up kidnapped! The girls have to save them with the help of two inhabitants of the Mirror Country, Hidarin and Migirin,  by battling Shadow, an evil clown, and five girls who are also from the Mirror Country that look very familiar...
animeRelated	['Yes! Precure 5']
animeCharacters	['Yumehara, Nozomi', 'Kasugano, Urara', 'Minazuki, Karen', 'Akimoto, Komachi', 'Natsuki, Rin', 'Coco', 'Nuts', 'Dark Dream', 'Dark Mint', 'Dark Aqua']
animeVoices	['Sanpei, Yuuko', 'Ise, Mariya', 'Maeda, Ai', 'Nagano, Ai', 'Takeuchi, Junko', 'Kusao, Takeshi', 'Irino, Miyu', 'Nishimura, Chinami', 'Minaguchi, Yuko', 'Kiuchi, Reiko']
animeStaff	[['Nagamine, Tatsuya', 'Director, Storyboard'], ['Matsumoto, Rie', 'Assistant Director'], ['Satou, Naoki', 'Music'], ['Tanaka, Hironori', 'Key Animation']]
