animeTitle	b'Takarajima (Movie)'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	184
animeRank	
animePopularity	
animeDescription	b'A 88-minute theatrical recut of the original Takarajima TV series.'
animeRelated	[b'Takarajima']
animeCharacters	[b'Silver, John', b'Hawkins, Jim', b'Gray, Abraham', b'Redruth', b'Gunn, Ben', b'Anderson', b'Papy', b'Smollett, Alexander', b'George', b'Lily']
animeVoices	[b'\nHazama, Michio\nJapanese\n', b'\nNozawa, Masako\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n', b'\nDezaki, Osamu\n\nAssistant Director\n\n', b'\nSugino, Akio\n\nAnimation Director, Character Design\n\n', b'\nStevenson, Robert Louis\n\nOriginal Creator\n\n']
