animeTitle	Narara Superboard
animeType	TV
animeNumEpisode	54
releaseDate	1990-08-21 00:00:00
endDate	2002-01-11 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14685
animeDescription	"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Sanzo, Hoshi', 'Sa, Gojou', 'Son, Goku', 'Cho, Hakkai']
animeVoices	[]
animeStaff	[]
