animeTitle	Maze☆Bakunetsu Jikuu: Hot Springs
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	341
animeRank	
animePopularity	11011
animeDescription	This is the missing Hot Springs episode included in the unrated boxset of Maze: Mega-Burst Space.
animeRelated	['Maze☆Bakunetsu Jikuu (TV)']
animeCharacters	['Varna, Mill', 'Schfoltzer, Solude', 'Randy', 'Sarris, Rapier', 'Reighe, Asterote', 'Gorgeous', 'Chic']
animeVoices	[]
animeStaff	[['Akahori, Satoru', 'Original Creator'], ['Suganuma, Eiji', 'Original Character Design'], ['Omishi, Rei', 'Original Character Design'], ['Gotou, Masayuki', 'Character Design']]
