animeTitle	Strike the Blood II
animeType	OVA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	70518
animeRank	
animePopularity	1073
animeDescription	The second season of Strike the Blood which adapts three arcs from the 9th, 11th, and 12th light novel volumes. 
animeRelated	['Strike the Blood', 'Strike the Blood III']
animeCharacters	['Himeragi, Yukina', 'Akatsuki, Kojou', 'Aiba, Asagi', 'Rihavein, La Folia', 'Kirasaka, Sayaka', 'Minamiya, Natsuki', 'Kanase, Kanon', 'Astarte', 'Yaze, Motoki', 'Akatsuki, Nagisa']
animeVoices	['Taneda, Risa', 'Hosoya, Yoshimasa', 'Seto, Asami', 'Oonishi, Saori', 'Hayama, Ikumi', 'Kanemoto, Hisako', 'Itou, Kanae', 'Iguchi, Yuka', 'Oosaka, Ryouta', 'Hidaka, Rina']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Yamamoto, Hideyo', 'Director'], ['Taneda, Risa', 'Theme Song Performance'], ['Wakeshima, Kanon', 'Theme Song Lyrics']]
