animeTitle	Ichiban Ushiro no Daimaou Specials
animeType	Special
animeNumEpisode	6
releaseDate	2010-06-25 00:00:00
endDate	2010-11-25 00:00:00
animeNumMembers	
animeScore	6.7
animeUsers	23168
animeRank	
animePopularity	2615
animeDescription	DVD/BD specials of Ichiban Ushiro no Daimaou.
animeRelated	['Ichiban Ushiro no Daimaou']
animeCharacters	['Sai, Akuto', 'Korone', 'Soga, Keena', 'Hattori, Junko', 'Etou, Fujiko', 'Miwa, Hiroshi', 'Shiraishi, Lily', 'Teruya, Eiko', 'Kamiyama, Kanna', 'Hattori, Yuuko']
animeVoices	['Kondou, Takashi', 'Yuuki, Aoi', 'Toyosaki, Aki', 'Hikasa, Youko', 'Itou, Shizuka', 'Yonaga, Tsubasa', 'Hirohashi, Ryou', 'Tomatsu, Haruka', 'Mizuhara, Kaoru', 'Iguchi, Yuka']
animeStaff	[['Katou, Tatsuya', 'Music'], ['Miki, Tatsuya', 'In-Between Animation'], ['Mizuki, Shoutarou', 'Original Creator'], ['Itou, Souichi', 'Original Character Design']]
