animeTitle	Apfelland Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	1992-12-12 00:00:00
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	554
animeRank	
animePopularity	9679
animeDescription	"Apfelland is a small but beautiful country surrounded by Russia, Austria, and Germany. Vel is a boy who lives in the capital, Charlottenburg. He happens to help a girl Frid. She was kidnapped because radium mine was found in her grandfather's abandoned mine. Aiming at the radium mine, various people gather there, for example, an American who wants to make money, a Polish woman disguised like a man who wants to earn money for the revolution, and the ministry of Apfelland who plots to affiliate with Germany. Vel and Frida are involved in their plots, and they know the secret of the mine.

(Source: AnimeNfo)"
animeRelated	['Apfelland Monogatari']
animeCharacters	['Wyszyńska, Arianna', 'Fleischer, Alfred', 'Strauss, Vergil', 'Lenbach, Frida', 'Denmann', 'Chamberlain', 'Prince Leonhard']
animeVoices	['Katsuki, Masako', 'Ebara, Masashi', 'Yamaguchi, Kappei', 'Minaguchi, Yuko', 'Wakamoto, Norio', 'Fujiwara, Keiji', 'Orikasa, Ai']
animeStaff	[['Yuyama, Kunihiko', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Mano, Akira', 'Episode Director'], ['Tanaka, Yoshiki', 'Original Creator']]
