animeTitle	Magikano
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	14339
animeRank	
animePopularity	3177
animeDescription	"Ayumi Mamiya is a witch cursed to lose her powers and only one boy can break the spell. Haruo Yoshikawa thinks he is a normal boy but unknown to him his three sisters have magical powers and keep him protected and ignorant about the existence of magic. Now Ayumi must wake up Haruo's latent powers to save herself but his sisters will have none of that.

(Source: ANN)"
animeRelated	['Magikano']
animeCharacters	['Mamiya, Ayumi', 'Yoshikawa, Maika', 'Yoshikawa, Fuyuno', 'Yoshikawa, Chiaki', 'Mamiya, Michiru', 'Anju, Rika', 'Hongou, Tetsuko', 'Yoshikawa, Haruo', 'Nijihara, Marin', 'Kurosu, Yuri']
animeVoices	['Nogawa, Sakura', 'Nakahara, Mai', 'Kaneda, Tomoko', 'Sakai, Kanako', 'Kuwatani, Natsuko', 'Inoue, Nana', 'Rikimaru, Noriko', 'Ichiki, Mitsuhiro', 'Momoi, Haruko', 'Namiki, Noriko']
animeStaff	[['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Kinoshita, Yuuki', 'Episode Director, Storyboard'], ['Tokairin, Shinichi', 'Episode Director, Storyboard']]
