animeTitle	Fuukei no Shimetsu
animeType	Movie
animeNumEpisode	1
releaseDate	1971-01-01 00:00:00
endDate	
animeNumMembers	25
animeScore	
animeUsers	
animeRank	15662
animePopularity	18642
animeDescription	"This animated documentary is derived from footage shot at the site of the Sanrizuka struggle opposing the construction of Narita Airport. In addition to scenes evidently shot before and after the Nihon Genyasai Festival in Sanrizuka, it features time-lapse sequences showing abandoned houses and construction equipment leveling requisitioned land.

(Source: Collaborative Cataloging Japan)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
