animeTitle	b'Kenritsu Chikyuu Boueigun'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	940
animeRank	
animePopularity	
animeDescription	b'Telegraph Pole Society, a mysterious group, is planning to conquer the world. The principal of the local high school forms a Defense Force by recruiting students from school: Shogi Morita, Kuho Tasuke, and Akiko Ifukube. Meanwhile the high school crazy scientist, Dr. Inogami, has turned a local boy, Kami Sanchin, into a cyborg. They might just defeat the Telegraph Pole Society with the help of the cyborg, or maybe not...\n\n(Source: AnimeNfo)'
animeRelated	[b'Kenritsu Chikyuu Boueigun']
animeCharacters	[b'Harataki, Baradagi', b'Chilthonia', b'Inoue, Yuko', b'Tsurusaki, Scope', b'Morita, Hiroaki', b'Sukekubo, Takei', b'Ifukube, Akiko', b'Santin, Karmi']
animeVoices	[b'\nTsuru, Hiromi\nJapanese\n', b'\nIkeda, Shuuichi\nJapanese\n', b'\nAono, Takeshi\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nFukami, Rica\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMizutani, Takaya\n\nEpisode Director\n\n', b'\nIto, Kazunori\n\nScript\n\n', b'\nKimura, Shinji\n\nArt Director\n\n', b'\nHaneda, Kentarou\n\nMusic\n\n']
