animeTitle	Wakaranai Buta
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.78
animeUsers	407
animeRank	
animePopularity	11677
animeDescription	"A huge pig is lying down in front of a house. Father, mother, grandmother, six children and a dog live in the house. Everyone is aware of the huge pig, and the pig is aware of the family. But nobody knows how and what the other think. The mother doesn't understand the father… It depends what you imagine when you hear about normal family life.

(Source: Fresh Film Fest Website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
