animeTitle	Glasslip
animeType	TV
animeNumEpisode	13
releaseDate	2014-07-03 00:00:00
endDate	2014-09-25 00:00:00
animeNumMembers	
animeScore	5.43
animeUsers	71548
animeRank	
animePopularity	1159
animeDescription	"What if you hold the power to hear the voices or see fragments of images from the future? Would that be a good thing or a bad thing? Glasslip follows the life of Touko Fukami, an aspiring glass artist born from a glass artisan family. She enjoys her worry-free life in Fukui, save for the fragments of images that she sees on occasion.

On her 18th summer, she meets the transfer student Kakeru Okikura at her school, and then again at her favorite café called Kazemichi together with all four of her friends. The voices from the future lead Kakeru to Touko, and his arrival disrupts her mediocre existence. All six of the friends must face their most unforgettable summer full of hope, affection, and heartache."
animeRelated	"['Glasslip', ""Hina's Lip""]"
animeCharacters	['Fukami, Touko', 'Okikura, Kakeru', 'Takayama, Yanagi', 'Nagamiya, Sachi', 'Imi, Yukinari', 'Shirosaki, Hiro', 'Okikura, Miwako', 'Fukami, Hina', 'Nagamiya, Suzune', 'Shirosaki, Momo']
animeVoices	['Fukagawa, Seria', 'Oosaka, Ryouta', 'Hayami, Saori', 'Taneda, Risa', 'Shimazaki, Nobunaga', 'Yamashita, Daiki', 'Tanaka, Atsuko', 'Touyama, Nao', 'Itou, Miki', 'Kayano, Ai']
animeStaff	[['Horikawa, Kenji', 'Producer'], ['Nagatani, Takayuki', 'Producer'], ['Nishimura, Junji', 'Director, Series Composition'], ['Tsujitani, Kouji', 'Sound Director']]
