animeTitle	b'Heli-Tako Puu-chan'
animeType	b'TV'
animeNumEpisode	42
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Based on the manga by Sasaki Takemaru.'
animeRelated	[]
animeCharacters	[b'Puu-chan', b'Porori', b'Narrator']
animeVoices	[b'\nWatanabe, Kumiko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nMatsuno, Taiki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHashimoto, Mitsuo\n\nDirector\n\n']
