animeTitle	Kyokugen Dasshutsu Adv: Zennin Shibou Desu Prologue
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	2106
animeRank	
animePopularity	7234
animeDescription	"With his last memory being that of his kidnapping, college student Sigma awakens to find himself trapped in a facility with eight strangers. The captives are soon informed that if they want to escape, they must play the ""Nonary Game""—a complex contest of trust and betrayal, where deciding whom to believe in is the difference between life and death. To make matters worse, any initial trust between the players is tainted when they realize that the mastermind behind their predicament may be one of them...

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Phi', 'Sigma', 'Yotsuba', 'Luna', 'Zero III', 'Dio', 'K', 'Tenmyouji', 'Quark', 'Alice']
animeVoices	['Omigawa, Chiaki', 'Toriumi, Kousuke', 'Tamura, Yukari', 'Noto, Mamiko', 'Tarako', 'Hosoya, Yoshimasa', 'Ono, Daisuke', 'Naya, Rokurou', 'Kugimiya, Rie', 'Tanaka, Atsuko']
animeStaff	[['Uchikoshi, Koutarou', 'Original Creator'], ['Hosoe, Shinji', 'Music'], ['Nishimura, Kinu', 'Original Character Design'], ['Horikawa, Kazuto', 'Editing, Director of Photography']]
