animeTitle	Doraemon Movie 08: Nobita to Ryuu no Kishi
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.98
animeUsers	2154
animeRank	
animePopularity	7690
animeDescription	"Doraemon created a hideout for everyone in an underground cave and Suneo got lost. Everyone came back out except Suneo. After finding out that he was lost the entrance was broken. They have to find another entrance to the caves and end up in a dinosaur world. Vanho , a soldier rescued them and said that he found Suneo. When they found Suneo they found out about Vanho's people's plans. Their plan it to study Doraemon's group as human specimens and take over Earth's suface .

(Source: ANN)"
animeRelated	['Daichouhen Doraemon', 'Doraemon (1979)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Gouda, Mother']
animeVoices	['Ooyama, Nobuyo', 'Ohara, Noriko', 'Nomura, Michiko', 'Kimotsuki, Kaneta', 'Tatekabe, Kazuya']
animeStaff	[['Shibayama, Tsutomu', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Takeda, Tetsuya', 'Theme Song Lyrics'], ['Fujiko, Fujio F.', 'Original Creator']]
