animeTitle	Nakedyouth
animeType	ONA
animeNumEpisode	1
releaseDate	2006-01-01 00:00:00
endDate	
animeNumMembers	7087
animeScore	5.77
animeUsers	3422
animeRank	9455
animePopularity	6111
animeDescription	In Nakedyouth, Shishido takes us on a journey through the uncertainty and excitement of young love and homoerotic love. These gentle films quiver with sexual tension, which is linked to the natural world: trees reflecting on the surface of a pond, butterflies fluttering in the breeze.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
