animeTitle	b'Alien 9'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	13022
animeRank	
animePopularity	
animeDescription	"b'Soon after entering middle school, Yuri Otani is coerced into joining the ""Alien Party,"" a single-minded group with one goal: capture any alien attempting to enter school grounds. Terrified of aliens her entire life, Otani is anything but thrilled, and to make matters worse, her kit includes a ""Borg""\xe2\x80\x94an alien-like creature tasked with ensuring her safety. Despite this, she finds solace in her two partners: the independent and reliable Kumi Kawamura, and the smart and energetic Kasumi Tomine.\n\nAs the Alien Party works to fend off extraterrestrial threats, will their roller blades and lacrosse sticks be enough to overcome the dire challenges ahead, or will they succumb to fear and suffer the grim consequences of defeat?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Alien 9']
animeCharacters	[b'Otani, Yuri', b'Kawamura, Kumi', b'Tomine, Kasumi', b'Borg', b'Knife, Yellow', b'Hisakawa, Megumi', b'Otani, Satoko', b'Hironaka, Tomoya', b'Namiki, Manabu', b'Iwanami, Hiroshi']
animeVoices	[b'\nIhata, Juri\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n', b'\nShitaya, Noriko\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nKatou, Yuuko\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nSanpei, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIrie, Yasuhiro\n\nDirector\n\n', b'\nFujimoto, Jirou\n\nDirector, Episode Director, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nMinakami, Seishi\n\nScript\n\n']
