animeTitle	b'Pui Pui Molcar'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.07
animeUsers	5120
animeRank	
animePopularity	
animeDescription	"b'The stage sets in a world where guinea pigs became cars.\n\nThe car that makes you relax, ""Molcar"".\n\nHaving big round eyes, curvy butt and speedy limbs, they always explore the world with their innocent faces.\n\nEven during traffic jams, you can be eased just by looking at the butt of that Molcar in front of you.\n\nEven when they cause trouble, their furry cuteness will somehow make you forgive them!?\n\nSurrounded by situations only met by cars, it\'s a Mol-animation filled with cure, friendship, adventure and furry actions!\n\n(Source: Muse Asia, edited)'"
animeRelated	[b'Tobidase! Narase! Pui Pui Molcar']
animeCharacters	[b'Teddy', b'Choko', b'Abbey', b'Potato', b'Emergency Molcar']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMisato, Tomoki\n\nDirector\n\n', b'\nNoguchi, Akira\n\nSound Director\n\n']
