animeTitle	Major S3
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	8.25
animeUsers	38489
animeRank	
animePopularity	2232
animeDescription	"Having bid farewell to his former teammates at Kaido High School's baseball club, Gorou Honda returns to his hometown eager to continue playing. Attending a new high school proves to be more difficult than he initially expected, as Tetsufumi Egashira's merciless slandering of his name prevents Gorou from being accepted into any school with an existing baseball team. 

Left with no other options, Gorou joins Seishuu High School, where his childhood friend Kaoru Shimizu also attends. However, Seishuu has always been an all-girls school until two years ago, so there is not yet a dedicated men’s baseball team.

But nothing will stop Gorou in his pursuit of Koshien. He must now create a baseball team from scratch with the seven male students at Seishuu, but all of them are complete amateurs! He decides to train the incompetent team up to nationally competitive levels, but such a feat is easier said than done. Will Gorou once again perform miracles? Or will he give up on achieving his goal of defeating Kaido with his own team? 

[Written by MAL Rewrite]"
animeRelated	['Major', 'Major S2', 'Major S4']
animeCharacters	['Honda, Gorou', 'Shimizu, Taiga', 'Tashiro', 'Fujii', 'Satou, Toshiya', 'Shimizu, Kaoru', 'Gibson, Joe', 'Mayumura, Ken', 'Hoshino, Momoko', 'Komori, Daisuke']
animeVoices	['Morikubo, Shoutarou', 'Park, Romi', 'Mori, Norihisa', 'Kusao, Takeshi', 'Morita, Masakazu', 'Sasamoto, Yuuko', 'Yasumura, Makoto', 'Noda, Junko', 'Miyata, Kouki']
animeStaff	[['Kasai, Kenichi', 'Director'], ['Fukushima, Toshinori', 'Director'], ['Umemoto, Yui', 'Episode Director'], ['Yoshida, Reiko', 'Script']]
