animeTitle	Charamaru-kun to Dokumaru-kun
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17071
animeDescription	An anime created from a grant from the Agency for Cultural Affairs. The aim is to enlighten children towards social contribution. They bring to light the goodness of picking up litter, donating blood, and the disasters that will happen in the future of nothing changes like floods from global warming. The OVA contains 3 stories.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
